,STNID,min,min_05,max_95,max,Latitude,Longitude,Name,FIPS_COUNTY,COUNTY_NAME,AVG_WEEKLY_WAGE
61,USW00053820,35.5,36.650000000000006,91.3,91.7,31.4156,-87.0442,EVERGREEN MIDDLETON FLD,01035,"Conecuh County, Alabama",699
62,USC00012883,32.8,33.849999999999994,91.75,92.1,33.6847,-87.8214,FAYETTE,01057,"Fayette County, Alabama",636
63,USC00018998,27.6,28.75,89.4,89.8,33.9111,-87.8475,WINFIELD 2 SW,01057,"Fayette County, Alabama",636
64,USC00013043,29.8,30.7,89.6,89.7,34.4406,-85.7236,FT PAYNE,01049,"DeKalb County, Alabama",708
65,USC00017207,29.4,30.4,87.7,88.2,34.2878,-85.9681,SAND MT SUBSTN,01049,"DeKalb County, Alabama",708
66,USC00018469,27.3,28.2,88.5,88.6,34.5667,-85.6128,VALLEY HEAD,01049,"DeKalb County, Alabama",708
67,USW00063857,28.8,30.05,86.7,87.1,34.285,-85.9622,GADSDEN 19 N,01049,"DeKalb County, Alabama",708
68,USW00063862,27.7,29.1,87.05,87.7,34.5653,-85.6172,VALLEY HEAD 1 SSW,01049,"DeKalb County, Alabama",708
69,USC00013105,36.2,37.45,90.1,90.6,31.3894,-87.4203,FRISCO CITY 3 SSW,01099,"Monroe County, Alabama",866
70,USC00013154,30.5,31.85,90.7,91.0,34.0219,-85.9878,GADSDEN,01055,"Etowah County, Alabama",711
71,USC00013160,32.7,33.849999999999994,92.0,92.2,32.8347,-88.1342,GAINESVILLE LOCK,01063,"Greene County, Alabama",647
72,USW00063892,33.2,34.45,90.55,91.5,32.8369,-88.1375,GAINESVILLE 2 NE,01063,"Greene County, Alabama",647
73,USC00013251,35.0,36.2,91.5,92.0,31.0383,-85.8708,GENEVA #2,01061,"Geneva County, Alabama",613
74,USC00013511,35.7,36.95,92.8,93.1,32.7019,-87.5817,GREENSBORO,01065,"Hale County, Alabama",706
75,USW00063893,33.5,35.3,90.8,92.2,32.7169,-87.6225,GREENSBORO 2 WNW,01065,"Hale County, Alabama",706
76,USC00013519,33.1,34.2,90.25,90.6,31.79,-86.6086,GREENVILLE,01013,"Butler County, Alabama",659
77,USC00013573,31.6,32.4,89.9,90.4,34.3344,-86.3297,GUNTERSVILLE,01095,"Marshall County, Alabama",717
78,USC00013575,31.5,32.95,89.2,89.5,34.3347,-86.3294,GUNTERSVILLE NO.2,01095,"Marshall County, Alabama",717
79,USW00063866,31.5,32.7,88.95,90.0,34.3336,-86.3156,GUNTERSVILLE 2 SW,01095,"Marshall County, Alabama",717
80,USC00013620,32.9,34.05,91.1,91.6,34.2314,-87.6353,HALEYVILLE,01093,"Marion County, Alabama",674
81,USC00013645,25.9,27.1,91.9,92.3,34.0967,-87.9914,HAMILTON 3 S,01093,"Marion County, Alabama",674
82,USC00013761,37.5,38.55,92.0,92.4,31.3625,-85.3397,HEADLAND,01067,"Henry County, Alabama",783
83,USC00013775,29.3,30.15,88.7,89.0,33.6483,-85.6006,HEFLIN,01029,"Cleburne County, Alabama",757
84,USC00013781,33.2,34.1,91.5,91.7,33.2725,-86.8336,HELENA,01117,"Shelby County, Alabama",1147
85,USC00016000,31.8,32.650000000000006,89.4,90.2,33.3264,-86.7561,OAK MTN STATE PARK HQ,01117,"Shelby County, Alabama",1147
86,USW00053864,33.9,35.05,90.35,90.7,33.1783,-86.7817,ALABASTER SHELBY CO AP,01117,"Shelby County, Alabama",1147
87,USC00013816,30.9,31.85,89.4,89.7,31.8814,-86.2503,HIGHLAND HOME,01041,"Crenshaw County, Alabama",709
88,USW00073802,35.5,37.25,89.95,90.1,31.9156,-86.3114,HIGHLAND HOME 2 S,01041,"Crenshaw County, Alabama",709
89,USC00014193,35.1,36.25,91.0,91.3,31.5253,-87.9278,JACKSON,01025,"Clarke County, Alabama",789
90,USC00018178,35.2,36.05,91.0,91.2,31.9172,-87.7347,THOMASVILLE,01025,"Clarke County, Alabama",789
91,USC00018867,33.3,34.3,90.6,91.0,31.6508,-87.7097,WHATLEY,01025,"Clarke County, Alabama",789
92,USW00023802,33.0,34.95,90.6,91.4,31.8814,-87.7367,THOMASVILLE 2 S,01025,"Clarke County, Alabama",789
93,USC00014226,29.0,30.0,90.3,90.9,33.9047,-87.3153,JASPER,01127,"Walker County, Alabama",771
94,USC00014502,29.1,30.25,90.2,90.9,32.9069,-85.4336,LAFAYETTE 2W,01017,"Chambers County, Alabama",745
95,USC00099291,31.8,32.9,88.75,89.4,32.8694,-85.1892,WEST POINT,01017,"Chambers County, Alabama",745
96,USC00014798,32.1,33.1,91.55,91.7,32.5811,-88.1897,LIVINGSTON,01119,"Sumter County, Alabama",737
97,USC00015121,32.7,33.75,90.7,91.2,32.4714,-87.2314,MARION JUNCTION 2 NE,01047,"Dallas County, Alabama",771
98,USC00017366,35.1,36.150000000000006,91.8,92.2,32.4111,-87.0144,SELMA,01047,"Dallas County, Alabama",771
99,USW00063858,32.3,33.75,90.8,91.3,32.4567,-87.2422,SELMA 13 WNW,01047,"Dallas County, Alabama",771
100,USW00063897,33.0,34.650000000000006,90.75,91.7,32.335,-86.9786,SELMA 6 SSE,01047,"Dallas County, Alabama",771
101,USC00015140,34.1,34.4,90.0,90.8,32.6667,-85.9167,MARTIN DAM,01051,"Elmore County, Alabama",704
102,USC00018859,34.6,35.8,89.9,90.5,32.5906,-86.2103,WETUMPKA,01051,"Elmore County, Alabama",704
103,USC00015439,34.4,35.6,91.1,91.4,32.4419,-85.8889,MILSTEAD,01087,"Macon County, Alabama",830
104,USC00015553,34.2,35.849999999999994,91.55,92.3,32.26,-86.2181,MONTGOMERY 6SW,01101,"Montgomery County, Alabama",882
105,USW00013895,35.4,36.3,92.0,92.4,32.2997,-86.4075,MONTGOMERY AP,01101,"Montgomery County, Alabama",882
106,USC00015635,29.1,29.95,89.55,90.2,34.4883,-87.2989,MOULTON 2,01079,"Lawrence County, Alabama",670
107,USW00063868,28.0,30.1,89.2,89.9,34.6603,-87.3461,COURTLAND 2 WSW,01079,"Lawrence County, Alabama",670
108,USC00015752,26.7,27.6,88.3,88.9,34.7889,-87.5394,MUSCLE SHOALS 3 NE,01033,"Colbert County, Alabama",854
109,USW00013896,31.0,32.2,90.85,91.4,34.7442,-87.5997,MUSCLE SHOALS RGNL AP,01033,"Colbert County, Alabama",854
110,USW00063894,28.8,30.0,89.55,90.9,34.7728,-87.64,MUSCLE SHOALS 2 N,01033,"Colbert County, Alabama",854
111,USC00016121,29.9,30.75,90.25,90.8,33.9478,-86.4692,ONEONTA,01009,"Blount County, Alabama",683
112,USC00016196,28.1,29.0,89.35,90.4,34.5528,-86.445,OWENS CROSS ROADS 3S,01089,"Madison County, Alabama",1206
113,USW00003856,31.5,32.75,90.7,91.3,34.6439,-86.7861,HUNTSVILLE INTL AP,01089,"Madison County, Alabama",1206
114,USC00017020,33.7,34.55,88.9,89.7,32.8711,-86.1758,ROCKFORD 3 ESE,01037,"Coosa County, Alabama",695
115,USC00017025,30.4,31.95,89.55,90.2,33.1581,-85.2911,ROCK MILLS,01111,"Randolph County, Alabama",645
116,USC00017131,30.0,30.6,89.6,90.0,34.51,-87.7319,RUSSELLVILLE NO 2,01059,"Franklin County, Alabama",694
117,USW00063895,28.0,29.1,88.65,89.5,34.4536,-87.7103,RUSSELLVILLE 4 SSE,01059,"Franklin County, Alabama",694
118,USC00018323,35.7,36.95,90.3,90.5,31.8075,-85.9722,TROY,01109,"Pike County, Alabama",769
119,USW00003878,34.6,35.4,91.25,91.6,31.8606,-86.0122,TROY MUNI AP,01109,"Pike County, Alabama",769
120,USW00023801,35.3,36.7,90.05,90.6,31.79,-86.0003,TROY 2 W,01109,"Pike County, Alabama",769
121,USC00018438,32.9,33.849999999999994,90.2,90.6,32.0142,-85.7464,UNION SPRINGS 9 S,01011,"Bullock County, Alabama",673
122,USC00018517,29.7,31.2,91.7,92.4,33.7392,-88.1275,VERNON,01075,"Lamar County, Alabama",778
123,USC00020060,32.7,33.95,97.05,101.3,33.9433,-113.1875,AGUILA,04013,"Maricopa County, Arizona",1118
124,USC00020632,41.0,42.45,94.55,105.1,33.8097,-111.6497,BARTLETT DAM,04013,"Maricopa County, Arizona",1118
125,USC00021026,35.0,36.650000000000006,94.75,108.5,33.3761,-112.5828,BUCKEYE,04013,"Maricopa County, Arizona",1118
126,USC00021282,41.1,42.6,95.75,102.8,33.8161,-111.9019,CAREFREE,04013,"Maricopa County, Arizona",1118
127,USC00021514,38.5,40.1,95.65,104.6,33.2058,-111.6819,CHANDLER HEIGHTS,04013,"Maricopa County, Arizona",1118
128,USC00022782,38.1,40.4,94.55000000000001,106.5,33.4192,-111.6444,EAST MESA,04013,"Maricopa County, Arizona",1118
129,USC00023190,41.4,42.45,94.65,104.2,33.6028,-111.7131,FOUNTAIN HILLS,04013,"Maricopa County, Arizona",1118
130,USC00023393,39.6,40.9,94.9,108.8,32.9481,-112.7131,GILA BEND,04013,"Maricopa County, Arizona",1118
131,USC00024829,40.8,42.150000000000006,94.94999999999999,107.0,33.3369,-112.1472,LAVEEN 3 SSE,04013,"Maricopa County, Arizona",1118
132,USC00024977,40.4,41.6,95.0,105.5,33.4992,-112.3631,LITCHFIELD PARK,04013,"Maricopa County, Arizona",1118
133,USC00025700,42.9,43.3,94.0,104.8,33.5544,-111.4425,MORMON FLAT,04013,"Maricopa County, Arizona",1118
134,USC00026194,39.1,40.95,95.0,107.5,33.0772,-113.0317,PAINTED ROCK DAM,04013,"Maricopa County, Arizona",1118
135,USC00026603,42.4,43.5,98.05,99.6,33.7275,-111.8606,PINNACLE PEAK,04013,"Maricopa County, Arizona",1118
136,USC00028112,38.7,39.95,97.5,101.5,33.3814,-112.07,SOUTH PHOENIX,04013,"Maricopa County, Arizona",1118
137,USC00028214,37.3,38.6,94.85,104.5,33.5575,-111.5358,STEWART MOUNTAIN,04013,"Maricopa County, Arizona",1118
138,USC00028499,37.0,38.55,94.95,105.2,33.4258,-111.9217,TEMPE ASU,04013,"Maricopa County, Arizona",1118
139,USC00028641,36.8,38.8,94.55,107.3,33.4203,-112.86,TONOPAH,04013,"Maricopa County, Arizona",1118
140,USC00029287,32.0,33.0,96.5,102.1,33.9792,-112.7403,WICKENBURG,04013,"Maricopa County, Arizona",1118
141,USC00029464,35.8,36.4,94.7,106.3,33.7478,-112.5983,WITTMANN 4SW,04013,"Maricopa County, Arizona",1118
142,USC00029634,40.5,41.9,94.5,106.4,33.595,-112.3014,YOUNGTOWN,04013,"Maricopa County, Arizona",1118
143,USW00003184,42.0,43.849999999999994,95.0,103.6,33.6883,-112.0817,PHOENIX DEER VALLEY MUNI,04013,"Maricopa County, Arizona",1118
144,USW00003192,41.5,42.75,94.9,103.8,33.6228,-111.9106,SCOTTSDALE MUNI AP,04013,"Maricopa County, Arizona",1118
145,USW00023183,44.0,45.4,94.25,106.5,33.4278,-112.0039,PHOENIX SKY HARBOR INTL,04013,"Maricopa County, Arizona",1118
146,USW00093140,44.4,45.349999999999994,94.44999999999999,106.5,33.4489,-112.0825,PHOENIX CITY,04013,"Maricopa County, Arizona",1118
147,USC00020080,45.4,46.0,95.0,103.7,32.3697,-112.86,AJO,04019,"Pima County, Arizona",945
148,USC00020287,32.4,32.849999999999994,96.4,100.9,31.9792,-111.3831,ANVIL RCH,04019,"Pima County, Arizona",945
149,USC00021357,31.1,32.95,97.7,103.2,32.4178,-110.9303,CATALINA SP,04019,"Pima County, Arizona",945
150,USC00023668,36.0,37.1,96.8,101.1,31.8931,-110.9978,GREEN VALLEY,04019,"Pima County, Arizona",945
151,USC00024675,33.8,34.6,80.19999999999999,82.4,31.96,-111.5972,KITT PEAK,04019,"Pima County, Arizona",945
152,USC00026132,39.7,40.3,95.44999999999999,103.6,31.9556,-112.8003,ORGAN PIPE CACTUS NM,04019,"Pima County, Arizona",945
153,USC00027593,38.2,39.2,91.9,94.3,31.7625,-110.8464,SANTA RITA EXP RANGE,04019,"Pima County, Arizona",945
154,USC00027619,35.0,35.8,93.95,96.4,31.4831,-111.5436,SASABE,04019,"Pima County, Arizona",945
155,USC00027625,29.1,29.6,96.4,98.4,31.5717,-111.5056,SASABE 6 NNE,04019,"Pima County, Arizona",945
156,USC00028795,38.5,39.4,98.6,102.6,32.2542,-111.1961,TUCSON 17 NW,04019,"Pima County, Arizona",945
157,USC00028796,35.2,36.45,99.2,103.1,32.2817,-110.9442,TUCSON CAMP AVE EXP,04019,"Pima County, Arizona",945
158,USC00028800,35.9,36.55,98.5,102.9,32.25,-110.8333,TUCSON MAGNETIC OBSY,04019,"Pima County, Arizona",945
159,USC00028815,40.1,41.45,97.1,100.7,32.2292,-110.9536,TUCSON WFO,04019,"Pima County, Arizona",945
160,USC00028817,36.4,37.6,99.5,103.5,32.2581,-111.0053,TUCSON U OF A #1,04019,"Pima County, Arizona",945
161,USW00023160,38.5,39.650000000000006,97.5,101.8,32.1314,-110.9553,TUCSON INTL AP,04019,"Pima County, Arizona",945
162,USW00053131,39.2,40.1,97.15,101.8,32.2394,-111.1697,TUCSON 11 W,04019,"Pima County, Arizona",945
163,USC00020100,34.6,35.75,94.65,107.9,34.2281,-113.5778,ALAMO DAM,04012,"La Paz County, Arizona",720
164,USC00020949,35.0,36.349999999999994,94.30000000000001,107.3,33.9431,-114.0242,BOUSE,04012,"La Paz County, Arizona",720
165,USC00022790,41.2,43.05,94.35,107.5,33.6133,-114.4706,EHRENBERG 2 E,04012,"La Paz County, Arizona",720
166,USC00026250,40.4,41.55,95.35,108.3,34.1547,-114.2897,PARKER,04012,"La Paz County, Arizona",720
167,USC00026865,37.8,39.7,94.44999999999999,108.0,33.665,-114.2272,QUARTZSITE,04012,"La Paz County, Arizona",720
168,USC00020159,13.6,14.55,76.9,78.8,33.8492,-109.1469,ALPINE,04001,"Apache County, Arizona",855
169,USC00021248,18.9,19.8,90.15,92.1,36.1533,-109.5394,CANYON DE CHELLY,04001,"Apache County, Arizona",855
170,USC00023303,16.5,17.8,87.25,89.0,35.7164,-109.5661,GANADO,04001,"Apache County, Arizona",855
171,USC00023683,12.6,13.1,75.3,77.4,34.0219,-109.4519,GREER,04001,"Apache County, Arizona",855
172,USC00024686,21.8,22.65,87.1,89.0,35.55,-109.7,KLAGETOH 12 WNW,04001,"Apache County, Arizona",855
173,USC00025129,18.5,19.2,85.5,87.5,36.4192,-109.2269,LUKACHUKAI,04001,"Apache County, Arizona",855
174,USC00025412,19.2,19.9,78.75,81.1,34.1142,-109.8589,MC NARY 2N,04001,"Apache County, Arizona",855
175,USC00026190,21.3,21.7,91.4,93.6,35.0681,-109.7689,PAINTED DESERT NP,04001,"Apache County, Arizona",855
176,USC00027435,18.8,20.0,88.95,90.8,34.5172,-109.4028,SAINT JOHNS,04001,"Apache County, Arizona",855
177,USC00027488,19.2,19.95,90.05,91.8,35.2239,-109.3222,SANDERS,04001,"Apache County, Arizona",855
178,USC00028162,15.9,17.05,83.5,85.3,34.1311,-109.275,SPRINGERVILLE,04001,"Apache County, Arizona",855
179,USC00028468,21.1,22.3,92.35,94.4,36.9233,-109.09,TEEC NOS POS,04001,"Apache County, Arizona",855
180,USC00029410,14.2,14.6,82.5,84.3,35.6169,-109.1244,WINDOW ROCK 4 SW,04001,"Apache County, Arizona",855
181,USW00003029,13.3,14.55,85.2,87.2,35.6575,-109.0614,WINDOW ROCK AP,04001,"Apache County, Arizona",855
182,USW00093027,18.7,20.65,90.65,93.3,34.5183,-109.3792,ST JOHNS INDUSTRIAL AP,04001,"Apache County, Arizona",855
183,USC00020170,17.6,20.1,73.15,74.9,33.6392,-109.3278,ALPINE 18 SW,04011,"Greenlee County, Arizona",1480
184,USC00021849,33.6,34.349999999999994,96.95,100.5,33.0561,-109.3072,CLIFTON,04011,"Greenlee County, Arizona",1480
185,USC00022754,24.0,24.8,97.5,99.7,32.7481,-109.1214,DUNCAN,04011,"Greenlee County, Arizona",1480
186,USC00020288,41.2,42.45,95.15,104.5,33.4625,-111.4814,APACHE JUNCTION 5 NE,04021,"Pinal County, Arizona",827
187,USC00020404,34.8,36.1,94.9,107.3,32.7306,-111.6917,ARIZONA CITY,04021,"Pinal County, Arizona",827
188,USC00021306,36.5,37.75,95.05,108.2,32.8878,-111.7117,CASA GRANDE,04021,"Pinal County, Arizona",827
189,USC00021314,35.2,36.150000000000006,94.7,107.0,32.9947,-111.5367,CASA GRANDE NM,04021,"Pinal County, Arizona",827
190,USC00022807,34.6,35.849999999999994,95.19999999999999,106.5,32.7819,-111.5186,ELOY 4 NE,04021,"Pinal County, Arizona",827
191,USC00023027,40.3,41.55,95.05000000000001,104.9,33.0364,-111.3881,FLORENCE,04021,"Pinal County, Arizona",827
192,USC00025270,34.3,35.7,94.55,109.1,33.1139,-112.0303,MARICOPA 4 N,04021,"Pinal County, Arizona",827
193,USC00026119,34.5,35.4,91.1,93.1,32.6025,-110.7344,ORACLE 2 SE,04021,"Pinal County, Arizona",827
194,USC00026513,38.5,39.849999999999994,95.15,106.0,32.6464,-111.4017,PICACHO 8 SE,04021,"Pinal County, Arizona",827
195,USC00027370,35.1,35.9,94.85,107.6,33.0722,-111.7661,SACATON,04021,"Pinal County, Arizona",827
196,USC00028348,43.5,44.55,97.35,98.9,33.3003,-111.0972,SUPERIOR,04021,"Pinal County, Arizona",827
197,USC00020586,28.8,30.3,93.15,94.3,34.5972,-113.1739,BAGDAD,04025,"Yavapai County, Arizona",758
198,USC00020670,24.1,25.35,98.4,99.7,34.6417,-111.7831,BEAVER CREEK,04025,"Yavapai County, Arizona",758
199,USC00021353,40.8,42.1,96.0,102.3,33.9825,-112.3617,CASTLE HOT SPRINGS,04025,"Yavapai County, Arizona",758
200,USC00021614,29.3,30.15,96.25,103.1,34.3494,-111.6981,CHILDS,04025,"Yavapai County, Arizona",758
201,USC00021654,22.9,24.5,91.35,92.6,34.7569,-112.4567,CHINO VALLEY,04025,"Yavapai County, Arizona",758
202,USC00022109,32.9,33.95,94.65,96.2,34.305,-112.165,CORDES,04025,"Yavapai County, Arizona",758
203,USC00022329,26.1,26.8,87.05,89.3,34.2097,-112.3453,CROWN KING,04025,"Yavapai County, Arizona",758
204,USC00024053,24.7,25.9,96.35,98.2,34.47,-112.8881,HILLSIDE 4 NNE,04025,"Yavapai County, Arizona",758
205,USC00024453,34.6,35.1,89.6,91.7,34.7522,-112.1114,JEROME,04025,"Yavapai County, Arizona",758
206,USC00025635,25.7,26.6,97.85,101.8,34.6106,-111.8381,MONTEZUMA CASTLE NM,04025,"Yavapai County, Arizona",758
207,USC00026796,22.9,23.7,87.69999999999999,89.5,34.5706,-112.4322,PRESCOTT,04025,"Yavapai County, Arizona",758
208,USC00027716,22.0,23.25,91.55,93.1,35.3322,-112.8797,SELIGMAN,04025,"Yavapai County, Arizona",758
209,USC00028904,29.0,29.95,97.25,100.5,34.7706,-112.0264,TUZIGOOT,04025,"Yavapai County, Arizona",758
210,USC00029158,21.8,23.1,88.0,89.8,34.9281,-112.8097,WALNUT CREEK,04025,"Yavapai County, Arizona",758
211,USW00023184,24.7,25.7,88.15,90.0,34.6517,-112.4208,PRESCOTT LOVE FLD,04025,"Yavapai County, Arizona",758
212,USC00020672,32.0,33.650000000000006,94.4,106.4,36.8969,-113.9425,BEAVER DAM,04015,"Mohave County, Arizona",736
213,USC00021050,42.6,43.9,94.1,111.8,35.1411,-114.5686,BULLHEAD CITY,04015,"Mohave County, Arizona",736
214,USC00021920,19.9,21.5,91.65,93.3,36.9936,-112.9719,COLORADO CITY,04015,"Mohave County, Arizona",736
215,USC00022527,20.6,22.25,89.75,90.9,35.2947,-113.3664,DIAMOND M RANCH,04015,"Mohave County, Arizona",736
216,USC00024645,32.0,33.05,94.65,95.8,35.2,-114.0167,KINGMAN #2,04015,"Mohave County, Arizona",736
