AQW00061705        3614C
USC00017366        1702S
USC00017999        1522S
USC00018024        1553S
USC00018178        1720S
USC00018209        1565S
USC00018323        1675R
USC00018380        1735S
USC00018438        1645S
USC00018469        1325C
USC00018517        1615R
USC00018812        1373Q
USC00018859        1596Q
USC00018867        1692R
USC00018998        1428S
USC00020060        1977R
USC00020080        2259Q
USC00020100        2241S
USC00020159         243R
USC00020170          80Q
USC00020287        2123S
USC00020288        2191R
USC00020404        2332Q
USC00020586        1503R
USC00020632        2159R
USC00020670        1837R
USC00020672        1964R
USC00020678         391R
USC00020683        1941R
USC00020750         797S
USC00020775        1281R
USC00020808        1091S
USC00020871         613R
USC00020949        2218S
USC00020958        1919S
USC00021001         213R
USC00021026        2389R
USC00021050        2319S
USC00021169        1627R
USC00021231        1481S
USC00021248        1226S
USC00021282        2035R
USC00021306        2430R
USC00021314        2302S
USC00021330        2047S
USC00021353        2096S
USC00021357        2126Q
USC00021514        2162R
USC00021574         490R
USC00021614        1986R
USC00021654        1388Q
USC00021664        1454R
USC00021849        1869R
USC00021920        1256R
USC00022109        1601S
USC00022140        1451S
USC00022329        1132R
USC00022434        2357R
USC00022527        1252R
USC00022659        2000R
USC00022754        1932S
USC00022782        2279Q
USC00022790        2286R
USC00022807        2387R
USC00023009         465R
USC00023027        2275R
USC00023110        1632Q
USC00023150        1986S
USC00023160         398S
USC00023190        2120S
USC00023250        1336Q
USC00023303        1053R
USC00023393        2442S
USC00023505        1709R
USC00023596         821S
USC00023668        2153R
USC00023683         148S
USC00023828         296R
USC00023961         799Q
USC00024053        1698R
USC00024089        1380S
USC00024453        1219S
USC00024586        1061R
USC00024645        1556R
USC00024675         579R
USC00024686        1080R
USC00024702        2141S
USC00024759        2259R
USC00024761        2207R
USC00024829        2266S
USC00024849        1699R
USC00024977        2163R
USC00025129         895R
USC00025270        2364C
USC00025412         390S
USC00025426        1747Q
USC00025512        1895R
USC00025635        1953S
USC00025665        1217R
USC00025700        2128R
USC00025780         587R
USC00025825        1292Q
USC00025924        1959S
USC00026037        1303R
USC00026119        1480R
USC00026132        2366S
USC00026180        1381S
USC00026190        1334Q
USC00026194        2367Q
USC00026242        1178Q
USC00026250        2376R
USC00026353        1734R
USC00026468        1412S
USC00026471        1983S
USC00026513        2265R
USC00026597         600R
USC00026601         759Q
USC00026603        1906Q
USC00026616        1319S
USC00026653        1327R
USC00026716        1143S
USC00026796        1168S
USC00026840        1951R
USC00026865        2256R
USC00027281        1978S
USC00027370        2409R
USC00027390        1966S
USC00027435        1246S
USC00027480        1961R
USC00027488        1241R
USC00027560        1950R
USC00027593        1677R
USC00027619        1847R
USC00027625        2019R
USC00027708        1623R
USC00027716        1402S
USC00027855         960S
USC00027880        1717R
USC00028012        1279C
USC00028018        1109R
USC00028112        2152R
USC00028162         810R
USC00028214        2202S
USC00028329         694S
USC00028348        1895R
USC00028396        2411S
USC00028468        1287S
USC00028499        2365S
USC00028516        1990R
USC00028619        1702S
USC00028641        2286R
USC00028792        1426R
USC00028795        2200R
USC00028796        2309R
USC00028800        2188R
USC00028815        2094S
USC00028817        2314S
USC00028865        1988S
USC00028904        1826S
USC00029114        1532S
USC00029156         801Q
USC00029158        1218S
USC00029271        1389R
USC00029287        2038S
USC00029309        2110R
USC00029334        1866S
USC00029359         678S
USC00029376        2225R
USC00029410         731R
USC00029464        2202Q
USC00029542        1389S
USC00029634        2269S
USC00029645        1987S
USC00029652        2316R
USC00029656        2446R
USC00030064        1309S
USC00030130        1279S
USC00030220        1554S
USC00030240        1462S
USC00030458        1173S
USC00030460        1453S
USC00030536        1461S
USC00030582        1509S
USC00030586        1212R
USC00030618        1323Q
USC00030664        1109Q
USC00030764        1380R
USC00030798        1471C
USC00030806        1364S
USC00030832        1410S
USC00030936        1399R
USC00031102        1553S
USC00031132        1331S
USC00031140        1588R
USC00031152        1649S
USC00031191        1589R
USC00031442        1470R
USC00031455        1423R
USC00031457        1178Q
USC00031459        1371R
USC00031596        1436R
USC00031632        1333S
USC00031730        1624S
USC00031838        1544S
USC00031900         651C
USC00031948        1514S
USC00031962        1669S
USC00031968        1456S
USC00032148        1596S
USC00032355        1841S
USC00032356        1156R
USC00032366        1463S
USC00032444        1173R
USC00032540        1465S
USC00032794        1300S
USC00032930        1338S
USC00032962        1366R
USC00032978        1321S
USC00033132        1441Q
USC00033242        1731S
USC00033428        1584S
USC00033466        1435S
USC00033544        1087S
USC00033734        1383S
USC00033821        1443S
USC00033862        1465C
USC00033909        1007Q
USC00034106        1099S
USC00034134        1512R
USC00034185        1621R
USC00034528        1417Q
USC00034548        1564S
USC00034562        1540S
USC00034572        1250S
USC00034638        1466S
USC00034666        1197R
USC00034711        1471Q
USC00034756        1261S
USC00034938        1441R
USC00034988        1291S
USC00035018        1359R
USC00035036        1264S
USC00035046        1373R
USC00035079        1421R
USC00035112        1589S
USC00035186        1325S
USC00035200        1420C
USC00035376        1519R
USC00035508        1392R
USC00035512        1293R
USC00035563        1313S
USC00035754        1542S
USC00035820        1272S
USC00035831        1375Q
USC00035866        1560S
USC00035908        1500S
USC00036174        1663Q
USC00036253        1562S
USC00036376        1540R
USC00036403        1289Q
USC00036506        1472S
USC00036562        1557S
USC00036768        1521S
USC00036920        1527S
USC00036928        1395S
USC00037488        1446S
USC00037582        1505S
USC00037712        1439S
USC00038010        1440Q
USC00038052        1381S
USC00038084        1441R
USC00040029         981R
USC00040136        1252R
USC00040161         996R
USC00040192        1580R
USC00040212        1006S
USC00040232        1347R
USC00040343        1645S
USC00040379        1337S
USC00040383        1280S
USC00040436        2121R
USC00040444        1644Q
USC00040449        1434S
USC00040521        1759S
USC00040673        1175S
USC00040693         306R
USC00040738        1365R
USC00040741         512S
USC00040755         461Q
USC00040790         554R
USC00040924        2357R
USC00040931         773S
USC00040943         227S
USC00040983        2280S
USC00041018         582R
USC00041048        2407R
USC00041072         683S
USC00041214        1040R
USC00041244        1681S
USC00041253        1624S
USC00041277         480S
USC00041312        1463R
USC00041316         933C
USC00041428        1400S
USC00041476         885R
USC00041484        1895R
USC00041497         760S
USC00041534         715Q
USC00041606        1097R
USC00041614         882S
USC00041697         974S
USC00041700         775S
USC00041715        1539R
USC00041738        2022Q
USC00041754        1030Q
USC00041758         414R
USC00041806        1249R
USC00041838        1497R
USC00041864        1804S
USC00041912         995S
USC00041948        1525R
USC00041967        1229R
USC00042012        1717S
USC00042081        1358S
USC00042147          14S
USC00042214         477R
USC00042239         913S
USC00042294        1506S
USC00042319        2445C
USC00042331        1189R
USC00042338         890R
USC00042402        1205S
USC00042410        2315Q
USC00042456        1352R
USC00042467         605S
USC00042500        1169S
USC00042506         996S
USC00042574        1164C
USC00042598        2070S
USC00042640        1398R
USC00042671         132R
USC00042706        1557R
USC00042709        1995R
USC00042713        2389S
USC00042728        1529R
USC00042771        1534S
USC00042805        1871R
USC00042863        1519R
USC00042934        1288S
USC00042941        1302R
USC00043083        1688R
USC00043113        1483R
USC00043157         712S
USC00043161           5R
USC00043191          29R
USC00043244         541R
USC00043256        1656R
USC00043261        1712S
USC00043384        1204Q
USC00043392         958Q
USC00043417        1356S
USC00043463        1135S
USC00043489        2352R
USC00043551         244S
USC00043573        1002R
USC00043578        1027C
USC00043647         113R
USC00043669        1168R
USC00043710        1784S
USC00043714          28S
USC00043747        1600S
USC00043824        1123S
USC00043855        2145S
USC00043875        1347S
USC00043882         642Q
USC00043896        1976R
USC00043914        1491S
USC00043939         852S
USC00044025         856S
USC00044176          64R
USC00044211        1020S
USC00044223        2369S
USC00044232        1646S
USC00044259        2511R
USC00044278        1831R
USC00044297        2252S
USC00044303        1632Q
USC00044374         697S
USC00044405        1751Q
USC00044412        1020Q
USC00044500         829S
USC00044523        1614R
USC00044534        1701Q
USC00044555        1362S
USC00044577          23R
USC00044647         578R
USC00044671         571S
USC00044712        1564S
USC00044713         611R
USC00044735        1227R
USC00044838         766S
USC00044881         709R
USC00044890        1709C
USC00044957        1720R
USC00044997        1201S
USC00045026         163S
USC00045032        1493S
USC00045064         213S
USC00045118        1569S
USC00045120        1469R
USC00045123         982S
USC00045233        1552R
USC00045280         214R
USC00045311         414S
USC00045360        1453S
USC00045378        1251C
USC00045385        1613R
USC00045449        1055R
USC00045502        2559R
USC00045532        1604S
USC00045679         605S
USC00045721        1297S
USC00045756        1537R
USC00045790        1764R
USC00045795         114S
USC00045802          56R
USC00045853        1193Q
USC00045866         144R
USC00045892        1169Q
USC00045915         924S
USC00045933         388S
USC00045968         703Q
USC00046006         912R
USC00046074         951S
USC00046136         991S
USC00046144         428S
USC00046154        1538S
USC00046161        1593R
USC00046168        1870S
USC00046172        1478R
USC00046174        1483R
USC00046175          95R
USC00046252        1475Q
USC00046263        1557R
USC00046336         255R
USC00046370         585Q
USC00046377          55R
USC00046386        2341Q
USC00046399        1467R
USC00046498          50R
USC00046506        1527S
USC00046508        1176R
USC00046521        1518R
USC00046569         182R
USC00046572         280R
USC00046599         194R
USC00046610        1096R
USC00046624        1716S
USC00046635        2436S
USC00046646         634R
USC00046657         788S
USC00046685        1252S
USC00046699        2225S
USC00046719        1683S
USC00046730        1441S
USC00046773        1577R
USC00046826         813S
USC00046926        1573S
USC00046943         102R
USC00046960        1333R
USC00046962        1213R
USC00047050        1630R
USC00047077        1790R
USC00047085         777S
USC00047109        1375S
USC00047150        1473S
USC00047195        1083R
USC00047228        1508R
USC00047253        1489S
USC00047306        1773S
USC00047339         757R
USC00047404         898S
USC00047414         228R
USC00047470        1880R
USC00047473        1772S
USC00047641         395R
USC00047643        1364S
USC00047668         237R
USC00047689        1235R
USC00047723        1925R
USC00047741          40Q
USC00047767          28R
USC00047785        1340R
USC00047807          97R
USC00047813        1861R
USC00047821         776S
USC00047836        1634Q
USC00047846        1394R
USC00047851         472S
USC00047874        1883R
USC00047880         611R
USC00047888        1191S
USC00047902         297R
USC00047916         392C
USC00047953          81S
USC00047957         984R
USC00047965         942S
USC00048025        1274Q
USC00048045         115S
USC00048135        1396S
USC00048163         130R
USC00048200        2002Q
USC00048207         780R
USC00048218         821Q
USC00048273         488R
USC00048351        1174S
USC00048353        1284R
USC00048380         463R
USC00048490         785Q
USC00048560        1574S
USC00048587        1503R
USC00048606         755S
USC00048655        2000R
USC00048702         946R
USC00048713        1298R
USC00048752        1593R
USC00048758         222S
USC00048826         894R
USC00048829        1036Q
USC00048873         728R
USC00048904        1158Q
USC00048917        1562S
USC00048928        1259R
USC00048999        1489Q
USC00049001        1411R
USC00049026        1257R
USC00049035        1950R
USC00049043         656S
USC00049053         811R
USC00049073        1480R
USC00049087         946R
USC00049099        1915R
USC00049102        2015Q
USC00049105          78R
USC00049111         931R
USC00049122        1232S
USC00049152         552S
USC00049200        1578S
USC00049325        1755R
USC00049351         803Q
USC00049367        1525S
USC00049378         796S
USC00049440        1351R
USC00049452        1789S
USC00049473         263S
USC00049490        1339R
USC00049621        1434S
USC00049671        1450R
USC00049684         757S
USC00049694        1332Q
USC00049699        1691R
USC00049742        1681C
USC00049781        1545R
USC00049785        1809Q
USC00049792        1379R
USC00049822         617R
USC00049847        1459Q
USC00049855        1089R
USC00049859        1254Q
USC00049866        1113S
USC00050109         987S
USC00050128         481Q
USC00050185         121R
USC00050214         970S
USC00050263         130S
USC00050301        1024R
USC00050306        1072Q
USC00050372         255S
USC00050454         294S
USC00050754         518Q
USC00050776         710R
USC00050797         575R
USC00050825           1Q
USC00050834        1104R
USC00050848         948S
USC00050945         965S
USC00050950        1075S
USC00051017        1014R
USC00051018         909Q
USC00051060         357R
USC00051071         534S
USC00051121        1074R
USC00051179        1052S
USC00051186           3S
USC00051268        1299S
USC00051294        1058R
USC00051401         801S
USC00051440        1089R
USC00051443         698R
USC00051458         396S
USC00051528         709S
USC00051539        1221R
USC00051547         997R
USC00051564        1184S
USC00051609         727S
USC00051620         997Q
USC00051660           2S
USC00051681          68R
USC00051713         369S
USC00051741         874R
USC00051743         969R
USC00051772        1092S
USC00051886        1020S
USC00051932         704R
USC00051939         210R
USC00051948         186Q
USC00051959          72S
USC00051964         439S
USC00051977          70Q
USC00051996        1202R
USC00052184         172S
USC00052192        1058R
USC00052196        1183R
USC00052223        1131R
USC00052281          68S
USC00052286        1028S
USC00052342         762Q
USC00052432        1017R
USC00052441         713R
USC00052446        1168R
USC00052631         717R
USC00052759         350R
USC00052761         299Q
USC00052790         461S
USC00052816          20Q
USC00052932        1042R
USC00052947        1013R
USC00052965         215R
USC00053005         866C
USC00053006         880R
USC00053016         313R
USC00053038         978R
USC00053116         142R
USC00053146        1182S
USC00053246        1277R
USC00053258         771Q
USC00053261         141R
USC00053307         859R
USC00053359         875R
USC00053387         207Q
USC00053446          59Q
USC00053489        1195S
USC00053496         150C
USC00053500         156S
USC00053530         136S
USC00053541         405S
USC00053553        1302S
USC00053592         264R
USC00053629         402Q
USC00053662         295R
USC00053867         749C
USC00053951         197R
USC00054054         339R
USC00054076        1309S
USC00054082         955S
USC00054135          47R
USC00054172        1013R
USC00054242        1013R
USC00054250         963R
USC00054254         859Q
USC00054380        1063R
USC00054388        1314R
USC00054413        1116R
USC00054444        1027S
USC00054452         940S
USC00054538        1184R
USC00054546        1115R
USC00054603        1215S
USC00054606        1171R
USC00054664         405R
USC00054724        1410R
USC00054726        1249S
USC00054734         134S
USC00054742         140S
USC00054762        1041S
USC00054770        1323S
USC00054834        1378S
USC00054934         221S
USC00054945         945S
USC00055025         993R
USC00055056         853R
USC00055116        1067R
USC00055236         933R
USC00055322         446S
USC00055327         508R
USC00055402         900R
USC00055414         233R
USC00055422         901R
USC00055427         824R
USC00055446         828R
USC00055484         670R
USC00055507         401R
USC00055531         752C
USC00055706         378R
USC00055722         946S
USC00055734         539R
USC00055797           5R
USC00055922         915R
USC00055934         568R
USC00055970         793R
USC00055984        1154R
USC00056012         683S
USC00056023         965R
USC00056040          96Q
USC00056131        1297R
USC00056136        1228S
USC00056203         187R
USC00056205         275Q
USC00056258         684R
USC00056259         465Q
USC00056266        1140S
USC00056306        1028S
USC00056318        1174R
USC00056320        1198Q
USC00056323         921R
USC00056326         912R
USC00056520         666Q
USC00056765        1268S
USC00056816         791R
USC00056832        1028S
USC00056970         196R
USC00056977          76R
USC00057017          82R
USC00057020         571R
USC00057031        1183R
USC00057050         101R
USC00057167        1464S
USC00057249         790R
USC00057287         766R
USC00057296         250R
USC00057309          77S
USC00057317         423R
USC00057337         320R
USC00057370         757R
USC00057430         513R
USC00057450           0Q
USC00057515         955S
USC00057519         990Q
USC00057557         931R
USC00057560         956R
USC00057572         402R
USC00057582        1185Q
USC00057656          38R
USC00057848         181R
USC00057866        1278R
USC00057936         487S
USC00057950        1130R
USC00058008        1059R
USC00058022         827R
USC00058064          37S
USC00058157        1251S
USC00058184          16S
USC00058204         122S
USC00058290        1268R
USC00058429         979S
USC00058436         931R
USC00058501          57R
USC00058560        1342S
USC00058575         149R
USC00058582         380R
USC00058690         452R
USC00058756         182S
USC00058781         935S
USC00058793        1259S
USC00058839         935S
USC00058860         286Q
USC00058931         383R
USC00058995         996S
USC00059058        1020Q
USC00059060        1030Q
USC00059096         225R
USC00059181       -7777R
USC00059243        1042R
USC00059265         185S
USC00059275         965R
USC00059278         742Q
USC00059295        1107S
USC00060227         569R
USC00060808         604Q
USC00060961         717R
USC00060973         683S
USC00061762         785R
USC00062658         478S
USC00063207         473R
USC00063420         418Q
USC00064488         631R
USC00064767         740R
USC00065077         772R
USC00065445         308S
USC00065910         683S
USC00067373         309R
USC00067958         560Q
USC00067970         870R
USC00068138         392R
USC00069388         587R
USC00069568         690R
USC00071200         926Q
USC00072730        1055S
USC00073570        1014R
USC00073595         945R
USC00075320        1011S
USC00075915         994R
USC00076410        1125R
USC00079605         796S
USC00080228        2598S
USC00080236        2673S
USC00080369        2679S
USC00080414        2565Q
USC00080478        2578S
USC00080598        2025Q
USC00080611        2860R
USC00080737        2675Q
USC00080945        2401S
USC00080992        2594Q
USC00081046        2488S
USC00081163        2378R
USC00081276        2533S
USC00081306        2430R
USC00081544        2017R
USC00081641        2396R
USC00081651        2601Q
USC00081654        2540R
USC00081795        2430P
USC00081858        2567R
USC00081978        2042R
USC00082008        2021R
USC00082046        2750Q
USC00082150        1996Q
USC00082220        1844R
USC00082229        2182R
USC00082298        2686S
USC00082418        2359R
USC00082441        2446R
USC00082850        2868R
USC00082915        2000S
USC00082944        1761S
USC00083020        2842R
USC00083026        2481Q
USC00083137        2491R
USC00083153        2548Q
USC00083163        2562S
USC00083168        2627R
USC00083207        2284S
USC00083322        2170R
USC00083470        1996S
USC00083874        1919S
USC00083909        2465S
USC00083956        2163S
USC00084050        2563Q
USC00084095        2761R
USC00084210        2870R
USC00084289        2455S
USC00084320        2456Q
USC00084366        1780R
USC00084394        1967S
USC00084412        2407Q
USC00084461        2604Q
USC00084625        2365S
USC00084662        2672R
USC00084707        2625R
USC00084731        2028S
USC00084802        2404R
USC00085076        2136S
USC00085099        2290S
USC00085184        2667R
USC00085275        1938S
USC00085359        2077Q
USC00085539        2115S
USC00085667        2615R
USC00085793        1732S
USC00085879        1884R
USC00085880        1781Q
USC00085895        2559S
USC00085973        2686R
USC00086065        2685S
USC00086078        2847R
USC00086129        1874Q
USC00086240        1661R
USC00086315        2615Q
USC00086406        2999S
USC00086414        2506S
USC00086485        2655R
USC00086618        2299R
USC00086657        2689Q
USC00086764        2318Q
USC00086767        1848R
USC00086828        1942Q
USC00086842        1858S
USC00086880        2438S
USC00087020        2416R
USC00087025        2159S
USC00087205        2480S
USC00087228        2468Q
USC00087254        2789R
USC00087261        2039Q
USC00087304        2508Q
USC00087397        2759S
USC00087429        1955R
USC00087760        3281S
USC00087826        1962S
USC00087851        2579S
USC00087982        2392S
USC00088076        1925Q
USC00088368        2579Q
USC00088529        2033R
USC00088565        2057R
USC00088620        2380R
USC00088756        2064Q
USC00088780        2690R
USC00088824        2148S
USC00088841        2617R
USC00088942        2288S
USC00089120        2068S
USC00089176        2377R
USC00089219        2258R
USC00089401        2767S
USC00089430        2415R
USC00089511        2857Q
USC00089566        1740S
USC00089640        2053Q
USC00089707        2542R
USC00090010        1774Q
USC00090140        1864S
USC00090181        1322R
USC00090219        1157R
USC00090236        1201R
USC00090253        1699R
USC00090311        1509S
USC00090406        1736R
USC00090586        2002R
USC00090603        1014Q
USC00090670        1786Q
USC00090969         976R
USC00090979        1777R
USC00091266        1766S
USC00091340        1835S
USC00091448        1635R
USC00091463        1932Q
USC00091474        1418R
USC00091500        1723S
USC00091640        1252S
USC00091665        1563R
USC00091732        1396S
USC00091863        1356R
USC00091908        1426Q
USC00091965        1240Q
USC00091973        1893R
USC00091982        1036S
USC00092006        1077Q
USC00092153        1907R
USC00092159        1705R
USC00092180        1282S
USC00092266        1655S
USC00092283        1021S
USC00092318        1453R
USC00092361        1722Q
USC00092408        1233Q
USC00092450        1614S
USC00092475        1130R
USC00092485        1399C
USC00092493        1402R
USC00092517        1334R
USC00092738        1951Q
USC00092783        1849S
USC00092839        1729S
USC00092966        1640S
USC00093060        1195C
USC00093271        1397R
USC00093325        2034R
USC00093386        1724R
USC00093465        2190S
USC00093506        1573R
USC00093538        1911S
USC00093578        1645Q
USC00093621        1155S
USC00093658        1674Q
USC00093754        1803R
USC00093915        1588R
USC00094133        1176S
USC00094138        1403Q
USC00094170        1678R
USC00094204        1848R
USC00094230        1110R
USC00094429        1859S
USC00094594        1685R
USC00094648        1040S
USC00094674        1982R
USC00094676        1751R
USC00094700        1361R
USC00094862        1706Q
USC00094941        1297R
USC00094949        1571R
USC00095061        1686Q
USC00095165        1454Q
USC00095314        1680S
USC00095394        1870R
USC00095401        1840Q
USC00095404        1054Q
USC00095550        1699R
USC00095666        1542R
USC00095811        1736R
USC00095863        1644S
USC00095874        1685S
USC00095882        1733R
USC00095988        1616S
USC00096087        1793S
USC00096093         195Q
USC00096148        1637R
USC00096219        1871R
USC00096244        2000R
USC00096335        1503S
USC00096838        1813Q
USC00097087        1573S
USC00097171        1734R
USC00097276        1931S
USC00097528        1691Q
USC00097600        1426S
USC00097777        1626S
USC00097808        1578S
USC00097827         389R
USC00098064        1541S
USC00098436        1437Q
USC00098476        1716R
USC00098496        1797R
USC00098535        1394S
USC00098661        1577S
USC00098666        1937Q
USC00098703        1760R
USC00098740        1256S
USC00098950        1411S
USC00098974        1877Q
USC00099027        1733Q
USC00099124        1684R
USC00099141        1525S
USC00099157        1450S
USC00099186        1925S
USC00099194        1693S
USC00099291        1395S
USC00099466        1436R
USC00099486        1210R
USC00099502        1816R
USC00100010         834S
USC00100227         768R
USC00100282         943Q
USC00100347         818R
USC00100375         757R
USC00100448         957S
USC00100470         546R
USC00100528         693Q
USC00100667         418S
USC00100803         683R
USC00100915         749R
USC00101017         816S
USC00101018        1091Q
USC00101079         678S
USC00101180        1054S
USC00101195        1208S
USC00101220         851S
USC00101363         511S
USC00101380        1137R
USC00101408        1033S
USC00101514         498S
USC00101551         933S
USC00101663         821R
USC00101671         480S
USC00101831         219Q
USC00101956         544R
USC00102159         436S
USC00102187         963Q
USC00102246         431R
USC00102260         650R
USC00102390         533R
USC00102444        1007R
USC00102575         252R
USC00102577         215Q
USC00102676         370S
USC00102707         625S
USC00102845         889C
USC00102875         610S
USC00102892         547R
USC00102942         964S
USC00103108         716R
USC00103110         611R
USC00103143         799S
USC00103297         759S
USC00103448         976S
USC00103554         648R
USC00103558         601Q
USC00103631        1220R
USC00103732         786S
USC00103760        1103S
USC00103771         532S
USC00103882         471R
USC00103932        1112S
USC00103940         676Q
USC00103964         883R
USC00104140         904S
USC00104150         450R
USC00104268         666R
USC00104295         850Q
USC00104318        1089Q
USC00104384         843R
USC00104442         816S
USC00104455         853S
USC00104456         458S
USC00104598         454R
USC00104670        1005S
USC00104793         982Q
USC00104831         620S
USC00104845         435S
USC00105013         670R
USC00105015         947Q
USC00105038        1056R
USC00105143         820Q
USC00105177         532R
USC00105275         523S
USC00105414         715R
USC00105462         541R
USC00105563         837R
USC00105567         932R
USC00105678         912R
USC00105685         775R
USC00105708         468S
USC00105716         787R
USC00105897         746S
USC00105980         885S
USC00106152         668S
USC00106174        1058R
USC00106230         535R
USC00106250         839R
USC00106305        1039S
USC00106388         671R
USC00106424         498S
USC00106542         824S
USC00106586         952R
USC00106764         648R
USC00106844        1033S
USC00106877         810S
USC00106891         988S
USC00107040         714S
USC00107046         593R
USC00107188         503R
USC00107208         866R
USC00107210         913Q
USC00107264         584S
USC00107301         544S
USC00107320         574S
USC00107346         845R
USC00107386         574C
USC00107563         511R
USC00107644         640R
USC00107648         807S
USC00107673         775S
USC00107689         648Q
USC00107706        1053S
USC00107808         802Q
USC00107968         846R
USC00108022         622S
USC00108062         657S
USC00108080         696C
USC00108137         559S
USC00108380         986R
USC00108395         886S
USC00108412         514R
USC00108535         648S
USC00108676         393S
USC00108928        1117S
USC00108937         653S
USC00109000         792R
USC00109065         360R
USC00109293         991S
USC00109303         765S
USC00109498         494R
USC00109560         326R
USC00109638        1060R
USC00109698         961Q
USC00109846         341S
USC00109950         525Q
USC00109951         501R
USC00109963         961R
USC00110055        1185R
USC00110072         784S
USC00110137        1154R
USC00110140         822Q
USC00110187        1269S
USC00110203         627R
USC00110306         898R
USC00110338         777S
USC00110356         912Q
USC00110442         573R
USC00110598        1074R
USC00110608        1192R
USC00110764        1041R
USC00110993        1153S
USC00111020        1124R
USC00111160        1124S
USC00111265        1239S
USC00111280        1018R
USC00111290        1052R
USC00111302        1144R
USC00111420         842R
USC00111436        1052S
USC00111475         990S
USC00111497         664S
USC00111550         643Q
USC00111835         722R
USC00111836        1004R
USC00112140        1000S
USC00112193        1110S
USC00112223         747S
USC00112348         712S
USC00112353        1311R
USC00112483        1199S
USC00112500         844R
USC00112736         780R
USC00112745         735R
USC00112931        1145S
USC00112993         911R
USC00113106        1153R
USC00113109        1150S
USC00113262         753S
USC00113290         827S
USC00113320         801S
USC00113335         856S
USC00113369         877R
USC00113384         891S
USC00113413         858R
USC00113455         894R
USC00113530         971R
USC00113580        1163R
USC00113612        1215Q
USC00113717         926R
USC00113879        1258R
USC00113940        1117R
USC00114013         993S
USC00114078        1139Q
USC00114108        1226S
USC00114198         977S
USC00114317        1228Q
USC00114400        1115R
USC00114442        1047C
USC00114447        1115Q
USC00114489        1061S
USC00114530         834S
USC00114603         875S
USC00114629        1254S
USC00114710         773R
USC00114780         847Q
USC00114805        1049S
USC00114823         933S
USC00114837         638R
USC00114957        1153R
USC00114991        1177Q
USC00115079         984S
USC00115097         752Q
USC00115113        1026Q
USC00115326         777R
USC00115342        1014R
USC00115372         805R
USC00115413         989R
USC00115430        1031R
USC00115493         642R
USC00115515        1197R
USC00115712         974S
USC00115768         984S
USC00115772         899R
USC00115825         872R
USC00115833         898S
USC00115841        1043S
USC00115888        1087S
USC00115901         853S
USC00115943        1014C
USC00115950        1057R
USC00115961         611R
USC00116011        1064S
USC00116025        1135Q
USC00116080         912R
USC00116157        1127R
USC00116159         865R
USC00116200         957S
USC00116383        1263R
USC00116446        1122S
USC00116526         853S
USC00116558        1098S
